City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lebu,-37.6167,-73.65,12.81,80,89,7.97,CL,1688418180
84,dudinka,69.4058,86.1778,13.68,56,61,0.3,RU,1688418180
85,kasempa,-13.4584,25.8338,13.07,50,2,2.3,ZM,1688418181
86,shiyan,32.6475,110.7781,21.33,94,100,2.78,CN,1688418181
87,isafjordur,66.0755,-23.124,9.32,64,71,4.92,IS,1688418181
88,puerto ayora,-0.7393,-90.3518,29.98,86,83,4.92,EC,1688418182
89,poronaysk,49.2167,143.1167,11.46,98,100,2.0,RU,1688418183
90,anadyr,64.75,177.4833,12.28,76,0,3.0,RU,1688418183
91,severo-yeniseyskiy,60.3725,93.0408,9.25,94,23,0.52,RU,1688418184
92,polyarnyy,69.1989,33.4478,9.54,98,100,1.29,RU,1688418184
93,brookings,44.3114,-96.7984,31.21,55,0,4.63,US,1688418185
94,kyshtovka,56.555,76.6271,14.86,95,21,2.91,RU,1688418186
95,shenkursk,62.1091,42.896,12.72,97,98,3.58,RU,1688418186
96,calama,-22.4667,-68.9333,21.27,8,0,7.72,CL,1688418042
97,sitka,57.0531,-135.33,15.94,72,0,2.57,US,1688418187
98,olonkinbyen,70.9221,-8.7187,3.79,92,100,10.41,SJ,1688418187
99,afaahiti,-17.75,-149.2833,27.93,81,77,8.19,PF,1688418187
100,tura,25.5198,90.2201,23.33,97,75,1.54,IN,1688418188
101,jamestown,42.097,-79.2353,24.73,88,75,4.12,US,1688418033
102,lorengau,-2.0226,147.2712,27.7,80,98,3.9,PG,1688418095
103,papatowai,-46.5619,169.4708,9.1,85,97,11.4,NZ,1688418188
104,plettenberg bay,-34.0527,23.3716,13.28,78,100,3.21,ZA,1688418189
105,cartagena,10.3997,-75.5144,30.79,74,40,4.63,CO,1688418028
106,toba,34.4833,136.85,24.0,87,13,1.96,JP,1688418189
107,alofi,-19.0595,-169.9187,24.94,83,75,6.11,NU,1688418190
108,kununurra,-15.7667,128.7333,15.99,77,40,3.09,AU,1688418190
109,harper,4.375,-7.7169,24.64,82,14,2.14,LR,1688418190
110,luderitz,-26.6481,15.1594,17.9,57,0,3.79,NA,1688418191
111,badger,64.8,-147.5333,24.44,37,20,2.06,US,1688418191
112,glace bay,46.1969,-59.957,20.74,95,100,4.63,CA,1688418191
113,tafresh,34.692,50.013,24.94,29,0,4.87,IR,1688418191
114,sisimiut,66.9395,-53.6735,8.05,84,100,3.55,GL,1688418192
115,sahiwal,30.6667,73.1,37.44,36,0,2.87,PK,1688418192
116,neryungri,56.6709,124.6491,17.62,77,4,0.22,RU,1688418192
117,kangding,30.0513,101.9603,14.89,98,100,0.45,CN,1688418192
118,bereznik,62.8551,42.7072,12.64,97,94,3.0,RU,1688418193
119,ushuaia,-54.8,-68.3,5.81,52,20,5.14,AR,1688418193
120,papao,-17.75,-149.55,28.82,80,87,9.21,PF,1688418193
121,touros,-5.1989,-35.4608,25.53,85,40,7.1,BR,1688418193
122,bertoua,4.5833,13.6833,20.91,93,100,0.53,CM,1688418193
123,callaway,30.153,-85.5699,33.32,68,78,3.58,US,1688418119
124,vorgashor,67.5833,63.95,15.18,89,63,5.01,RU,1688418194
125,west valley,46.5921,-120.6051,31.37,17,0,2.57,US,1688418194
126,ilulissat,69.2167,-51.1,11.01,66,100,3.6,GL,1688418194
127,amol,36.4696,52.3507,22.57,75,0,1.17,IR,1688418195
